unlocode,name,municipality,iso_country,lat,lon
FOLOP,Lopra,Lopra,FO,61.44311,-6.7703364
FONLS,Nólsoy,Nólsoy,FO,62.01667,-6.66667
FONSK,Norÿskáli,Norÿskáli,FO,62.21667,-7
FORVK,Runavík,Runavík,FO,62.11667,-6.71667
FOSJO,Sjovar havn,Sjovar havn,FO,62.1,-6.75
FOSKA,Skáli,Skáli,FO,62.15,-6.76667
FOSMJ,Solmundefjord,Solmundefjord,FO,62.1575065,-6.7525633
FOSRV,Sorvágur,Sorvágur,FO,62.06667,-7.3
FOSTR,Strendur,Strendur,FO,62.11667,-6.75
FOSYN,Streymnes,Streymnes,FO,62.2,-7.01667
FOTHO,Thorshavn,Thorshavn,FO,62.01667,-6.76667
FOTOF,Toftir,Toftir,FO,62.1,-6.73333
FOTOR,Tórshavn,Tórshavn,FO,62.0101396,-6.7715709
FOTVO,Tvoroyri,Tvoroyri,FO,61.55,-6.8
FOVAG,Vágur,Vágur,FO,61.46667,-6.81667
FOVES,Vestmanhavn,Vestmanhavn,FO,62.156389,-7.166389
FR33G,Plassac,Plassac,FR,45.1,-0.65
FR3CG,Bessan,Bessan,FR,43.36667,3.41667
FR43H,Olonzac,Olonzac,FR,43.28333,2.71667
FR4MM,Malestroit,Malestroit,FR,47.81667,-2.38333
FR4PS,Plessé,Plessé,FR,47.53333,-1.88333
FR4S4,Saint-André-de-la-Roche,Saint-André-de-la-Roche,FR,43.73333,7.28333
FR4VA,Villesèquelande,Villesèquelande,FR,43.23333,2.23333
FR5EP,Épervans,Épervans,FR,46.75,4.9
FR5TB,Saint-Trojan-les-Bains,Saint-Trojan-les-Bains,FR,45.83333,-1.2
FR69R,Chasselay,Chasselay,FR,45.86667,4.78333
FR8AY,Uzemain,Uzemain,FR,48.08333,6.35
FR8GT,Guitalens-l'Albarède,Guitalens-l'Albarède,FR,43.65,2.05
FR8LV,Landunvez,Landunvez,FR,48.53333,-4.73333
FR9AV,Vadencourt,Vadencourt,FR,49.93333,3.56667
FR9DS,Dieue-Sur-Meuse,Dieue-Sur-Meuse,FR,49.06667,5.41667
FR9SS,Ressons-le-Long,Ressons-le-Long,FR,49.38333,3.15
FRA84,Aubais,Aubais,FR,43.7546,4.14898
FRA86,Achery,Achery,FR,49.68333,3.38333
FRAA2,Asnelles,Asnelles,FR,49.33333,-0.58333
FRAAH,Apach,Apach,FR,49.45,6.36667
FRAAI,Bouliac,Bouliac,FR,44.81667,-0.51667
FRAAO,Aramon,Aramon,FR,43.9,4.66667
FRABA,Rabastens,Rabastens,FR,43.81667,1.73333
FRABB,Abbeville,Abbeville,FR,50.1,1.83333
FRAD5,Tourouzelle,Tourouzelle,FR,43.25,2.73333
FRADB,Andernos-les-Bains,Andernos-les-Bains,FR,44.73333,-1.1
FRAEO,Auvers-sur-Oise,Auvers-sur-Oise,FR,49.06667,2.18333
FRAGF,Agen,Agen,FR,44.2,0.61667
FRAGK,Le Cap-d'Agde,Le Cap-d'Agde,FR,43.28333,3.51667
FRAIQ,Audruicq,Audruicq,FR,50.86667,2.06667
FRAJA,Ajaccio,Ajaccio,FR,41.93333,8.73333
FRAJK,Brasles,Brasles,FR,49.05,3.43333
FRAJR,Argeliers,Argeliers,FR,43.3,2.9
FRAMI,Amiens,Amiens,FR,49.9,2.3
FRAMS,Ambès,Ambès,FR,45,-0.53333
FRANO,Langon,Langon,FR,44.55,-0.25
FRANT,Antibes,Antibes,FR,43.58333,7.11667
